Técnico;1.01;CEP;1.02;1.03;2.01;2.02;2.03;2.04;2.05;2.06;2.07;2.08;3.01;3.02;4.01;4.021;4.022;4.03;4.04;4.05
T024;2914802;45600-002;1;13;2;3;-;1;1;1;1;2;05;2;2;04;1994;4;1;1
T045;2610103;55310-000;1;11;1;2;-;1;2;1;1;1;05;2;1;02;1980;2;1;2
T032;2915353;47440-000;1;11;3;4;-;1;4;1;1;1;03;1;1;01;1976;2;1;2
T056;2612604;56380-000;1;13;3;2;-;2;1;2;1;1;02;1;2;05;1966;3;1;3
T001;2111706;65220-000;1;14;1;0;1;3;1;2;1;2;07;2;1;06;1987;1;2;1
T035;2706109;57525-000;1;14;2;0;2;-;6;3;2;-;12;1;2;01;2000;1;1;1
T099;1200401;69904-120;1;12;2;4;-;2;2;5;3;-;01;1;2;07;2001;4;1;1
T065;1702307;65907-230;1;12;5;3;-;1;1;7;3;-;09;2;1;02;1992;4;2;3
T100;1721000;65870-000;1;13;4;2;-;6;8;3;2;-;10;2;2;04;1973;5;2;2
T123;1721000;69730-000;5;53;-;-;-;-;-;-;-;-;18;1;2;01;1985;5;1;2
T175;1200401;69730-000;5;52;-;-;-;-;-;-;-;-;14;1;1;09;1981;4;1;3
T167;1721000;69730-000;6;62;-;-;-;-;-;-;-;-;13;-;1;12;1992;2;1;3
T345;2108009;65870-000;5;12;3;4;3;1;3;4;1;5;12;-;2;01;1999;2;1;3 
T032;1200401;65870-000;6;12;5;0;2;4;9;4;5;3;21;-;2;10;1954;3;2;1 
T139;2108009;65870-000;1;15;5;3;-;8;12;54;13;123;-;12;12;1;3;12;4 
T200;4107603;86840-000;6;11;-;-;-;-;-;-;-;-;2;-;1;11;1952;3;1;3
T046;4200903;37220-000;5;63;-;-;-;-;-;-;-;-;10;1;2;7;1952;1;2;3
T106;4100202;83490-000;1;13;6;0;2;-;8;1;3;-;10;1;1;10;1969;1;1;1
T098;4218707;88701-000;1;11;6;0;2;-;8;1;3;-;10;1;1;10;19674;1;1;3
T002;4218954;88625-000;6;11;-;-;-;-;-;-;-;-;2;-;1;11;1952;3;1;3
T200;4311403;95900-000;1;13;6;0;2;-;8;1;3;-;10;1;1;10;1969;1;1;2
T122;4303905;37220-000;5;14;3;4;1;3;10;4;2;-;10;-;1;3;1970;2;2;2    
T001;4103701;86010-000;5;63;-;-;-;-;-;-;-;-;10;1;2;7;1950;1;2;1
T050;4107603;86840-000;1;11;6;1;2;-;8;1;3;-;10;1;1;10;1968;1;1;3   
T025;4106209;83730-000;6;11;-;-;-;-;-;-;-;-;2;-;1;11;2018;3;1;3    
T186;4218707;88701-000;1;11;6;0;2;-;8;1;3;-;10;1;1;10;19674;1;1;3
T016;3518800;07044-210;1;12;1;0;1;3;1;2;1;1;2;1;1;3;1962;3;2;2
T038;3534401;06018-060;1;14;2;2;-;3;1;2;1;3;2;1;2;5;1977;3;1;2
T049;3170206;38400-000;1;14;2;2;-;3;1;2;1;3;2;1;2;5;1987;3;1;2
T051;3543402;14000-001;1;13;3;4;-;-;3;1;2;-;6;1;1;8;1957;1;1;1
T062;3136702;36000-000;1;11;6;1;-;-;10;5;1;2;4;2;2;10;1955;4;1;2
T084;3304904;62820-000;1;15;1;0;1;2;3;5;3;-;12;1;1;8;1990;2;1;2
T095;2306256;61880-000;1;15;6;2;-;6;5;7;2;-;10;1;2;4;1996;3;2;1
T106;2105351;65948-000;1;12;5;2;-;3;5;1;3;-;1;2;1;8;1987;5;1;2
T125;2205003;64565-000;1;14;2;4;2;-;10;6;2;-;2;1;2;1;1960;3;2;1
T066;2915353;47440-000;1;13;6;1;-;3;4;7;1;2;1;1;1;12;1992;5;2;1
T067;2915304;45850-000;1;11;2;1;-;6;9;5;2;-;10;1;1;10;1954;3;1;3
T034;2209220;46300-900;6;13;5;3;1;5;8;1;3;-;3;2;2;4;1985;1;2;3 
T178;2209220;46300-900;6;63;5;3;1;2;6;1;2;-;2;1;2;8;1980;4;2;1 
T009;1200401;69900-016;1;14;1;1;-;2;1;3;1;2;4;2;1;12;2001;1;2;2
T024;1400100;69301-061;5;51;-;-;-;-;-;-;-;-;22;2;2;2;1999;5;1;1
T036;1302603;61930-430;6;65;-;-;-;-;-;-;-;-;19;-;2;11;1990;3;2;3
